"key","year","new students","delay","gim","gic","giu","rim","ric","riu","pim","pic","piu","lost"
"Computer Science",2000,69,1,0,0,0,40,40,61,40,40,61,8
"Computer Science",2000,69,2,1,1,1,28,28,55,29,29,56,13
"Computer Science",2000,69,3,2,2,2,25,25,50,27,27,52,17
"Computer Science",2000,69,4,20,20,27,5,5,22,25,25,49,20
"Computer Science",2000,69,5,24,24,42,2,2,6,26,26,48,21
"Computer Science",2000,69,6,25,25,46,1,1,3,26,26,49,20
"Computer Science",2000,69,7,26,26,49,1,1,2,27,27,51,18
"Computer Science",2000,69,8,26,26,49,0,0,1,26,26,50,19
"Computer Science",2000,69,9,26,26,51,0,0,0,26,26,51,18
"Computer Science",2000,69,10,26,26,51,1,1,1,27,27,52,17
"Computer Science",2001,103,1,0,0,0,41,42,80,41,42,80,23
"Computer Science",2001,103,2,0,0,0,29,30,71,29,30,71,32
"Computer Science",2001,103,3,0,0,1,27,28,68,27,28,69,34
"Computer Science",2001,103,4,13,13,30,12,15,40,25,28,70,33
"Computer Science",2001,103,5,20,20,50,3,4,14,23,24,64,39
"Computer Science",2001,103,6,21,22,54,2,3,7,23,25,61,42
"Computer Science",2001,103,7,21,22,55,1,2,5,22,24,60,43
"Computer Science",2001,103,8,21,22,57,2,3,3,23,25,60,43
"Computer Science",2001,103,9,21,22,57,0,1,2,21,23,59,44
"Computer Science",2001,103,10,22,23,58,0,1,2,22,24,60,43
"Computer Science",2002,70,1,0,0,0,39,41,59,39,41,59,11
"Computer Science",2002,70,2,0,0,0,28,29,56,28,29,56,14
"Computer Science",2002,70,3,0,0,0,23,24,51,23,24,51,19
"Computer Science",2002,70,4,14,14,26,9,9,25,23,23,51,19
"Computer Science",2002,70,5,22,23,50,2,2,5,24,25,55,15
"Computer Science",2002,70,6,22,23,50,2,2,4,24,25,54,16
"Computer Science",2002,70,7,23,24,52,1,1,2,24,25,54,16
"Computer Science",2002,70,8,24,25,53,0,0,1,24,25,54,16
"Computer Science",2002,70,9,24,25,54,0,0,0,24,25,54,16
"Computer Science",2002,70,10,24,25,54,0,0,0,24,25,54,16
"Computer Science",2003,72,1,0,0,0,54,57,64,54,57,64,8
"Computer Science",2003,72,2,0,0,0,35,38,53,35,38,53,19
"Computer Science",2003,72,3,0,0,0,29,32,52,29,32,52,20
"Computer Science",2003,72,4,18,21,28,10,10,23,28,31,51,21
"Computer Science",2003,72,5,23,26,42,4,4,9,27,30,51,21
"Computer Science",2003,72,6,24,27,45,2,2,4,26,29,49,23
"Computer Science",2003,72,7,24,27,46,0,1,1,24,28,47,25
"Computer Science",2003,72,8,24,27,48,0,0,0,24,27,48,24
"Computer Science",2003,72,9,24,27,48,1,1,1,25,28,49,23
"Computer Science",2003,72,10,"null","null","null","null","null","null","null","null","null","null"
"Computer Science",2004,66,1,0,0,0,49,49,58,49,49,58,8
"Computer Science",2004,66,2,0,0,0,23,25,48,23,25,48,18
"Computer Science",2004,66,3,0,0,0,17,19,44,17,19,44,22
"Computer Science",2004,66,4,9,11,16,6,6,27,15,17,43,23
"Computer Science",2004,66,5,12,14,30,3,4,12,15,18,42,24
"Computer Science",2004,66,6,12,14,33,2,2,5,14,16,38,28
"Computer Science",2004,66,7,13,15,35,0,0,1,13,15,36,30
"Computer Science",2004,66,8,13,15,36,1,1,1,14,16,37,29
"Computer Science",2004,66,9,"null","null","null","null","null","null","null","null","null","null"
"Computer Science",2004,66,10,"null","null","null","null","null","null","null","null","null","null"
"Computer Science",2005,55,1,0,0,0,34,34,44,34,34,44,11
"Computer Science",2005,55,2,0,0,0,22,24,38,22,24,38,17
"Computer Science",2005,55,3,1,1,1,18,21,35,19,22,36,19
"Computer Science",2005,55,4,8,11,19,10,10,18,18,21,37,18
"Computer Science",2005,55,5,13,16,28,4,4,7,17,20,35,20
"Computer Science",2005,55,6,15,18,31,2,3,5,17,21,36,19
"Computer Science",2005,55,7,17,20,34,1,2,5,18,22,39,16
"Computer Science",2005,55,8,"null","null","null","null","null","null","null","null","null","null"
"Computer Science",2005,55,9,"null","null","null","null","null","null","null","null","null","null"
"Computer Science",2005,55,10,"null","null","null","null","null","null","null","null","null","null"
"Computer Science",2006,69,1,0,0,0,45,51,56,45,51,56,13
"Computer Science",2006,69,2,0,0,0,27,32,45,27,32,45,24
"Computer Science",2006,69,3,0,0,0,22,26,40,22,26,40,29
"Computer Science",2006,69,4,4,6,14,19,22,28,23,28,42,27
"Computer Science",2006,69,5,14,18,29,12,13,16,26,31,45,24
"Computer Science",2006,69,6,18,23,35,4,6,8,22,29,43,26
"Computer Science",2006,69,7,"null","null","null","null","null","null","null","null","null","null"
"Computer Science",2006,69,8,"null","null","null","null","null","null","null","null","null","null"
"Computer Science",2006,69,9,"null","null","null","null","null","null","null","null","null","null"
"Computer Science",2006,69,10,"null","null","null","null","null","null","null","null","null","null"
"Computer Science",2007,72,1,0,0,0,53,58,65,53,58,65,7
"Computer Science",2007,72,2,0,0,0,32,40,55,32,40,55,17
"Computer Science",2007,72,3,0,0,0,24,33,52,24,33,52,20
"Computer Science",2007,72,4,14,16,19,9,17,30,23,33,49,23
"Computer Science",2007,72,5,16,22,35,5,7,10,21,29,45,27
"Computer Science",2007,72,6,"null","null","null","null","null","null","null","null","null","null"
"Computer Science",2007,72,7,"null","null","null","null","null","null","null","null","null","null"
