"key","year","new students","delay","gim","gic","giu","rim","ric","riu","pim","pic","piu","lost"
"Chemistry",2000,15,1,0,0,0,7,10,11,7,10,11,4
"Chemistry",2000,15,2,0,0,0,3,5,7,3,5,7,8
"Chemistry",2000,15,3,0,0,0,2,5,7,2,5,7,8
"Chemistry",2000,15,4,0,1,2,2,6,7,2,7,9,6
"Chemistry",2000,15,5,1,3,5,0,0,0,1,3,5,10
"Chemistry",2000,15,6,1,3,5,0,0,0,1,3,5,10
"Chemistry",2000,15,7,1,3,5,0,0,0,1,3,5,10
"Chemistry",2000,15,8,1,3,5,0,0,0,1,3,5,10
"Chemistry",2000,15,9,1,3,5,0,0,0,1,3,5,10
"Chemistry",2000,15,10,1,3,5,0,0,0,1,3,5,10
"Chemistry",2001,15,1,0,0,0,10,13,13,10,13,13,2
"Chemistry",2001,15,2,0,0,0,6,7,7,6,7,7,8
"Chemistry",2001,15,3,0,0,0,4,5,5,4,5,5,10
"Chemistry",2001,15,4,2,2,2,2,2,2,4,4,4,11
"Chemistry",2001,15,5,4,4,4,0,2,2,4,6,6,9
"Chemistry",2001,15,6,4,4,4,0,0,1,4,4,5,10
"Chemistry",2001,15,7,4,4,4,0,0,1,4,4,5,10
"Chemistry",2001,15,8,4,4,4,0,0,1,4,4,5,10
"Chemistry",2001,15,9,4,4,4,0,0,1,4,4,5,10
"Chemistry",2001,15,10,4,4,4,0,0,1,4,4,5,10
"Chemistry",2002,10,1,0,0,0,4,8,8,4,8,8,2
"Chemistry",2002,10,2,0,0,0,4,6,7,4,6,7,3
"Chemistry",2002,10,3,0,0,0,2,5,6,2,5,6,4
"Chemistry",2002,10,4,1,1,2,1,3,4,2,4,6,4
"Chemistry",2002,10,5,2,3,4,0,1,2,2,4,6,4
"Chemistry",2002,10,6,2,4,5,0,0,0,2,4,5,5
"Chemistry",2002,10,7,2,4,5,0,0,0,2,4,5,5
"Chemistry",2002,10,8,2,4,5,0,0,0,2,4,5,5
"Chemistry",2002,10,9,2,4,5,0,0,0,2,4,5,5
"Chemistry",2002,10,10,2,4,5,0,0,0,2,4,5,5
"Chemistry",2003,17,1,0,0,0,13,13,13,13,13,13,4
"Chemistry",2003,17,2,0,0,0,5,6,9,5,6,9,8
"Chemistry",2003,17,3,0,0,0,4,5,8,4,5,8,9
"Chemistry",2003,17,4,2,2,4,1,2,3,3,4,7,10
"Chemistry",2003,17,5,2,2,5,0,2,2,2,4,7,10
"Chemistry",2003,17,6,2,3,6,0,1,1,2,4,7,10
"Chemistry",2003,17,7,2,4,7,0,0,0,2,4,7,10
"Chemistry",2003,17,8,2,4,7,0,0,0,2,4,7,10
"Chemistry",2003,17,9,2,4,7,0,0,0,2,4,7,10
"Chemistry",2003,17,10,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2004,23,1,0,0,0,15,16,17,15,16,17,6
"Chemistry",2004,23,2,0,0,0,10,12,15,10,12,15,8
"Chemistry",2004,23,3,0,0,0,8,10,13,8,10,13,10
"Chemistry",2004,23,4,5,7,9,1,4,7,6,11,16,7
"Chemistry",2004,23,5,7,10,12,0,1,3,7,11,15,8
"Chemistry",2004,23,6,7,10,12,0,1,2,7,11,14,9
"Chemistry",2004,23,7,7,11,13,0,0,1,7,11,14,9
"Chemistry",2004,23,8,7,11,14,0,0,0,7,11,14,9
"Chemistry",2004,23,9,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2004,23,10,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2005,18,1,0,0,0,13,14,15,13,14,15,3
"Chemistry",2005,18,2,0,0,0,7,12,13,7,12,13,5
"Chemistry",2005,18,3,0,0,0,3,6,12,3,6,12,6
"Chemistry",2005,18,4,2,4,5,0,4,8,2,8,13,5
"Chemistry",2005,18,5,2,7,8,0,1,4,2,8,12,6
"Chemistry",2005,18,6,2,7,10,0,1,2,2,8,12,6
"Chemistry",2005,18,7,2,8,13,0,0,0,2,8,13,5
"Chemistry",2005,18,8,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2005,18,9,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2005,18,10,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2006,20,1,0,0,0,15,16,17,15,16,17,3
"Chemistry",2006,20,2,0,0,0,9,11,12,9,11,12,8
"Chemistry",2006,20,3,0,0,0,5,7,10,5,7,10,10
"Chemistry",2006,20,4,1,2,3,3,4,6,4,6,9,11
"Chemistry",2006,20,5,3,4,6,2,3,3,5,7,9,11
"Chemistry",2006,20,6,4,6,8,1,1,1,5,7,9,11
"Chemistry",2006,20,7,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2006,20,8,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2006,20,9,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2006,20,10,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2007,30,1,0,0,0,21,24,26,21,24,26,4
"Chemistry",2007,30,2,0,0,0,15,18,23,15,18,23,7
"Chemistry",2007,30,3,0,0,0,8,15,21,8,15,21,9
"Chemistry",2007,30,4,2,5,6,3,7,13,5,12,19,11
"Chemistry",2007,30,5,5,12,15,1,1,3,6,13,18,12
"Chemistry",2007,30,6,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2007,30,7,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2007,30,8,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2007,30,9,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2007,30,10,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2008,29,1,0,0,0,17,19,22,17,19,22,7
"Chemistry",2008,29,2,0,0,0,12,17,21,12,17,21,8
"Chemistry",2008,29,3,0,1,1,11,16,20,11,17,21,8
"Chemistry",2008,29,4,2,4,6,4,12,14,6,16,20,9
"Chemistry",2008,29,5,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2008,29,6,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2008,29,7,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2008,29,8,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2008,29,9,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2008,29,10,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2009,49,1,0,0,0,24,30,35,24,30,35,14
"Chemistry",2009,49,2,0,0,0,13,20,30,13,20,30,19
"Chemistry",2009,49,3,0,0,0,6,14,24,6,14,24,25
"Chemistry",2009,49,4,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2009,49,5,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2009,49,6,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2009,49,7,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2009,49,8,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2009,49,9,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2009,49,10,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2010,43,1,0,0,0,23,26,32,23,26,32,11
"Chemistry",2010,43,2,0,0,0,13,20,28,13,20,28,15
"Chemistry",2010,43,3,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2010,43,4,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2010,43,5,"null","null","null","null","null","null","null","null","null","null"
"Chemistry",2010,43,6,"null","null","null","null","null","null","null","null","null","null"
