"key","year","new students","delay","gim","gic","giu","rim","ric","riu","pim","pic","piu","lost"
"Civil Engineering",2000,14,1,0,0,0,10,12,12,10,12,12,2
"Civil Engineering",2000,14,2,0,0,0,5,7,10,5,7,10,4
"Civil Engineering",2000,14,3,0,0,0,5,6,9,5,6,9,5
"Civil Engineering",2000,14,4,3,5,8,3,3,3,6,8,11,3
"Civil Engineering",2000,14,5,6,8,11,0,0,1,6,8,12,2
"Civil Engineering",2000,14,6,6,8,11,0,0,1,6,8,12,2
"Civil Engineering",2000,14,7,6,8,11,0,0,1,6,8,12,2
"Civil Engineering",2000,14,8,6,8,12,0,0,0,6,8,12,2
"Civil Engineering",2000,14,9,6,8,12,0,0,0,6,8,12,2
"Civil Engineering",2000,14,10,6,8,12,0,0,0,6,8,12,2
"Civil Engineering",2001,30,1,0,0,0,20,22,22,20,22,22,8
"Civil Engineering",2001,30,2,0,0,0,16,17,19,16,17,19,11
"Civil Engineering",2001,30,3,0,0,0,13,14,17,13,14,17,13
"Civil Engineering",2001,30,4,6,6,7,3,4,5,9,10,12,18
"Civil Engineering",2001,30,5,12,13,15,0,0,0,12,13,15,15
"Civil Engineering",2001,30,6,12,13,15,0,0,0,12,13,15,15
"Civil Engineering",2001,30,7,12,13,15,0,0,1,12,13,16,14
"Civil Engineering",2001,30,8,12,13,15,1,1,2,13,14,17,13
"Civil Engineering",2001,30,9,12,13,16,1,1,1,13,14,17,13
"Civil Engineering",2001,30,10,12,13,16,1,1,1,13,14,17,13
"Civil Engineering",2002,22,1,0,0,0,14,16,19,14,16,19,3
"Civil Engineering",2002,22,2,0,0,0,13,15,19,13,15,19,3
"Civil Engineering",2002,22,3,0,0,0,11,13,17,11,13,17,5
"Civil Engineering",2002,22,4,8,9,10,3,4,6,11,13,16,6
"Civil Engineering",2002,22,5,10,12,15,1,1,3,11,13,18,4
"Civil Engineering",2002,22,6,10,12,16,1,1,1,11,13,17,5
"Civil Engineering",2002,22,7,10,12,16,0,0,0,10,12,16,6
"Civil Engineering",2002,22,8,10,12,16,0,0,0,10,12,16,6
"Civil Engineering",2002,22,9,10,12,16,0,0,0,10,12,16,6
"Civil Engineering",2002,22,10,10,12,16,0,0,0,10,12,16,6
"Civil Engineering",2003,36,1,0,0,0,26,27,28,26,27,28,8
"Civil Engineering",2003,36,2,0,0,0,18,22,24,18,22,24,12
"Civil Engineering",2003,36,3,0,0,0,17,21,25,17,21,25,11
"Civil Engineering",2003,36,4,10,10,10,8,12,15,18,22,25,11
"Civil Engineering",2003,36,5,13,16,17,4,4,5,17,20,22,14
"Civil Engineering",2003,36,6,14,17,19,1,1,1,15,18,20,16
"Civil Engineering",2003,36,7,15,18,20,1,1,2,16,19,22,14
"Civil Engineering",2003,36,8,16,19,21,0,0,0,16,19,21,15
"Civil Engineering",2003,36,9,16,19,23,0,0,0,16,19,23,13
"Civil Engineering",2003,36,10,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2004,42,1,0,0,0,28,32,39,28,32,39,3
"Civil Engineering",2004,42,2,0,0,0,21,28,33,21,28,33,9
"Civil Engineering",2004,42,3,0,0,0,20,26,30,20,26,30,12
"Civil Engineering",2004,42,4,8,11,13,12,16,19,20,27,32,10
"Civil Engineering",2004,42,5,17,23,27,1,2,2,18,25,29,13
"Civil Engineering",2004,42,6,17,23,27,0,1,2,17,24,29,13
"Civil Engineering",2004,42,7,18,25,29,0,0,2,18,25,31,11
"Civil Engineering",2004,42,8,18,25,30,0,0,1,18,25,31,11
"Civil Engineering",2004,42,9,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2004,42,10,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2005,39,1,0,0,0,26,29,31,26,29,31,8
"Civil Engineering",2005,39,2,0,0,0,21,23,27,21,23,27,12
"Civil Engineering",2005,39,3,0,0,0,19,21,26,19,21,26,13
"Civil Engineering",2005,39,4,13,13,14,6,8,13,19,21,27,12
"Civil Engineering",2005,39,5,17,18,21,1,1,3,18,19,24,15
"Civil Engineering",2005,39,6,17,18,22,1,1,3,18,19,25,14
"Civil Engineering",2005,39,7,18,19,24,1,1,3,19,20,27,12
"Civil Engineering",2005,39,8,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2005,39,9,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2005,39,10,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2006,40,1,0,0,0,25,26,31,25,26,31,9
"Civil Engineering",2006,40,2,0,0,0,18,21,26,18,21,26,14
"Civil Engineering",2006,40,3,0,0,1,16,22,27,16,22,28,12
"Civil Engineering",2006,40,4,10,11,14,5,8,13,15,19,27,13
"Civil Engineering",2006,40,5,15,17,22,1,3,6,16,20,28,12
"Civil Engineering",2006,40,6,15,18,25,0,1,2,15,19,27,13
"Civil Engineering",2006,40,7,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2006,40,8,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2006,40,9,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2006,40,10,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2007,74,1,0,0,0,47,52,62,47,52,62,12
"Civil Engineering",2007,74,2,0,0,0,38,45,56,38,45,56,18
"Civil Engineering",2007,74,3,0,0,0,35,42,53,35,42,53,21
"Civil Engineering",2007,74,4,14,15,17,21,26,35,35,41,52,22
"Civil Engineering",2007,74,5,30,33,42,6,9,9,36,42,51,23
"Civil Engineering",2007,74,6,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2007,74,7,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2007,74,8,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2007,74,9,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2007,74,10,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2008,87,1,0,0,0,53,63,72,53,63,72,15
"Civil Engineering",2008,87,2,0,0,0,40,51,65,40,51,65,22
"Civil Engineering",2008,87,3,0,0,0,32,43,58,32,43,58,29
"Civil Engineering",2008,87,4,12,12,16,20,30,43,32,42,59,28
"Civil Engineering",2008,87,5,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2008,87,6,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2008,87,7,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2008,87,8,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2008,87,9,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2008,87,10,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2009,61,1,0,0,0,41,42,48,41,42,48,13
"Civil Engineering",2009,61,2,0,0,0,26,30,39,26,30,39,22
"Civil Engineering",2009,61,3,0,0,0,24,28,38,24,28,38,23
"Civil Engineering",2009,61,4,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2009,61,5,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2009,61,6,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2009,61,7,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2009,61,8,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2009,61,9,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2009,61,10,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2010,86,1,0,0,0,49,60,68,49,60,68,18
"Civil Engineering",2010,86,2,0,0,0,36,50,61,36,50,61,25
"Civil Engineering",2010,86,3,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2010,86,4,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2010,86,5,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2010,86,6,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2010,86,7,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2010,86,8,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2010,86,9,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2010,86,10,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2011,66,1,0,0,0,31,36,50,31,36,50,16
"Civil Engineering",2011,66,2,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2011,66,3,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2011,66,4,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2011,66,5,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2011,66,6,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2011,66,7,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2011,66,8,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2011,66,9,"null","null","null","null","null","null","null","null","null","null"
"Civil Engineering",2011,66,10,"null","null","null","null","null","null","null","null","null","null"
"Computer Engineering",2000,25,1,0,0,0,16,16,17,16,16,17,8
"Computer Engineering",2000,25,2,0,0,0,10,10,14,10,10,14,11
"Computer Engineering",2000,25,3,0,0,0,8,8,13,8,8,13,12
"Computer Engineering",2000,25,4,5,5,6,3,3,6,8,8,12,13
"Computer Engineering",2000,25,5,8,8,12,0,0,1,8,8,13,12
"Computer Engineering",2000,25,6,8,8,12,0,0,0,8,8,12,13
"Computer Engineering",2000,25,7,8,8,12,0,0,0,8,8,12,13
