key,value,year,date
asheville,0,0,1996
asheville,0,1,1996
asheville,0.2,2,1996
asheville,30.7,3,1996
asheville,47.1,4,1996
asheville,50.7,5,1996
asheville,52,6,1996
asheville,52.7,7,1996
asheville,53.1,8,1996
asheville,53.3,9,1996
asheville,0,0,1997
asheville,0,1,1997
asheville,0.2,2,1997
asheville,29.1,3,1997
asheville,47.4,4,1997
asheville,51.1,5,1997
asheville,53,6,1997
asheville,53.2,7,1997
asheville,53.8,8,1997
asheville,54.3,9,1997
asheville,0,0,1998
asheville,0,1,1998
asheville,0.4,2,1998
asheville,25.3,3,1998
asheville,48.3,4,1998
asheville,51.5,5,1998
asheville,52.7,6,1998
asheville,53.4,7,1998
asheville,54,8,1998
asheville,54.4,9,1998
asheville,0,0,1999
asheville,0,1,1999
asheville,0.4,2,1999
asheville,28.1,3,1999
asheville,50.7,4,1999
asheville,53.1,5,1999
asheville,53.9,6,1999
asheville,54.8,7,1999
asheville,55,8,1999
asheville,55.3,9,1999
asheville,0,0,2000
asheville,0,1,2000
asheville,0.8,2,2000
asheville,30.9,3,2000
asheville,49.5,4,2000
asheville,53.3,5,2000
asheville,54.9,6,2000
asheville,55.8,7,2000
asheville,55.8,8,2000
asheville,55.8,9,2000
asheville,0,0,2001
asheville,0,1,2001
asheville,0.2,2,2001
asheville,33.2,3,2001
asheville,49.8,4,2001
asheville,53.6,5,2001
asheville,56.1,6,2001
asheville,56.7,7,2001
asheville,57.2,8,2001
asheville,57.8,9,2001
asheville,0,0,2002
asheville,0,1,2002
asheville,0.5,2,2002
asheville,33.1,3,2002
asheville,53.2,4,2002
asheville,59.6,5,2002
asheville,61.2,6,2002
asheville,61.5,7,2002
asheville,61.5,8,2002
asheville,61.5,9,2002
asheville,0,0,2003
asheville,0,1,2003
asheville,0.7,2,2003
asheville,28.7,3,2003
asheville,54.8,4,2003
asheville,58.7,5,2003
asheville,59.9,6,2003
asheville,60.9,7,2003
asheville,61.6,8,2003
asheville,0,9,2003
asheville,0,0,2004
asheville,0,1,2004
asheville,0.9,2,2004
asheville,29.8,3,2004
asheville,51.4,4,2004
asheville,55.2,5,2004
asheville,56.7,6,2004
asheville,57.4,7,2004
asheville,0,8,2004
asheville,0,9,2004
asheville,0,0,2005
asheville,0,1,2005
asheville,0.4,2,2005
asheville,32.7,3,2005
asheville,56.1,4,2005
asheville,60.5,5,2005
asheville,62.4,6,2005
asheville,0,7,2005
asheville,0,8,2005
asheville,0,9,2005
asheville,0,0,2006
asheville,0,1,2006
asheville,0.2,2,2006
asheville,31.6,3,2006
asheville,50.4,4,2006
asheville,55,5,2006
asheville,0,6,2006
asheville,0,7,2006
asheville,0,8,2006
asheville,0,9,2006
asheville,0,0,2007
asheville,0,1,2007
asheville,0.7,2,2007
asheville,36.9,3,2007
asheville,55.6,4,2007
asheville,0,5,2007
asheville,0,6,2007
asheville,0,7,2007
asheville,0,8,2007
asheville,0,9,2007
asheville,0,0,2008
asheville,0,1,2008
asheville,0.7,2,2008
asheville,38.4,3,2008
asheville,0,4,2008
asheville,0,5,2008
asheville,0,6,2008
asheville,0,7,2008
asheville,0,8,2008
asheville,0,9,2008
asheville,0,0,2009
asheville,0.2,1,2009
asheville,0.8,2,2009
asheville,0,3,2009
asheville,0,4,2009
asheville,0,5,2009
asheville,0,6,2009
asheville,0,7,2009
asheville,0,8,2009
asheville,0,9,2009
asheville,0,0,2010
asheville,0.5,1,2010
asheville,0,2,2010
asheville,0,3,2010
asheville,0,4,2010
asheville,0,5,2010
asheville,0,6,2010
asheville,0,7,2010
asheville,0,8,2010
asheville,0,9,2010
asheville,0,0,2011
asheville,0,1,2011
asheville,0,2,2011
asheville,0,3,2011
asheville,0,4,2011
asheville,0,5,2011
asheville,0,6,2011
asheville,0,7,2011
asheville,0,8,2011
asheville,0,9,2011
ch,0,0,1996
ch,0,1,1996
ch,1.4,2,1996
ch,66.9,3,1996
ch,78.7,4,1996
ch,80.4,5,1996
ch,81.1,6,1996
ch,81.4,7,1996
ch,81.7,8,1996
ch,81.8,9,1996
ch,0,0,1997
ch,0,1,1997
ch,1.3,2,1997
ch,69.5,3,1997
ch,81.2,4,1997
ch,82.8,5,1997
ch,83.9,6,1997
ch,84.3,7,1997
ch,84.6,8,1997
ch,84.7,9,1997
ch,0,0,1998
ch,0,1,1998
ch,1.7,2,1998
ch,66.8,3,1998
ch,79.7,4,1998
ch,81.7,5,1998
ch,82.4,6,1998
ch,83,7,1998
ch,83.5,8,1998
ch,83.7,9,1998
ch,0,0,1999
ch,0,1,1999
ch,1.6,2,1999
ch,70.6,3,1999
ch,82.3,4,1999
ch,83.8,5,1999
ch,84.5,6,1999
ch,85,7,1999
ch,85.3,8,1999
ch,85.6,9,1999
ch,0,0,2000
ch,0,1,2000
ch,1.3,2,2000
ch,71.2,3,2000
ch,82.6,4,2000
ch,83.8,5,2000
ch,84.3,6,2000
ch,84.7,7,2000
ch,85,8,2000
ch,85.2,9,2000
ch,0,0,2001
ch,0.1,1,2001
ch,1.9,2,2001
ch,70.9,3,2001
ch,81,4,2001
ch,82.6,5,2001
ch,83.5,6,2001
ch,83.9,7,2001
ch,84.3,8,2001
ch,84.6,9,2001
ch,0,0,2002
ch,0,1,2002
ch,1.8,2,2002
ch,73.2,3,2002
ch,83.7,4,2002
ch,86.1,5,2002
ch,86.9,6,2002
ch,87.2,7,2002
ch,87.4,8,2002
ch,87.7,9,2002
ch,0,0,2003
ch,0,1,2003
ch,1.8,2,2003
ch,72.2,3,2003
ch,83.4,4,2003
ch,84.9,5,2003
ch,85.6,6,2003
ch,86.1,7,2003
ch,86.6,8,2003
ch,0,9,2003
ch,0,0,2004
ch,0,1,2004
ch,1.6,2,2004
ch,74.8,3,2004
ch,86,4,2004
ch,88,5,2004
ch,88.7,6,2004
ch,89,7,2004
ch,0,8,2004
ch,0,9,2004
ch,0,0,2005
ch,0,1,2005
ch,1.4,2,2005
ch,75.2,3,2005
ch,86.1,4,2005
ch,88.9,5,2005
ch,89.6,6,2005
ch,0,7,2005
ch,0,8,2005
ch,0,9,2005
ch,0,0,2006
ch,0,1,2006
ch,1.8,2,2006
ch,76.1,3,2006
ch,87.3,4,2006
ch,89.2,5,2006
ch,0,6,2006
ch,0,7,2006
ch,0,8,2006
ch,0,9,2006
ch,0,0,2007
ch,0,1,2007
ch,1.4,2,2007
ch,80.5,3,2007
ch,88.4,4,2007
ch,0,5,2007
ch,0,6,2007
ch,0,7,2007
ch,0,8,2007
ch,0,9,2007
ch,0,0,2008
ch,0.1,1,2008
ch,1.5,2,2008
ch,80.4,3,2008
ch,0,4,2008
ch,0,5,2008
ch,0,6,2008
ch,0,7,2008
ch,0,8,2008
ch,0,9,2008
ch,0,0,2009
ch,0,1,2009
ch,1.6,2,2009
ch,0,3,2009
ch,0,4,2009
ch,0,5,2009
ch,0,6,2009
ch,0,7,2009
ch,0,8,2009
ch,0,9,2009
ch,0,0,2010
ch,0.1,1,2010
ch,0,2,2010
ch,0,3,2010
ch,0,4,2010
ch,0,5,2010
ch,0,6,2010
ch,0,7,2010
ch,0,8,2010
ch,0,9,2010
ch,0,0,2011
ch,0,1,2011
ch,0,2,2011
ch,0,3,2011
ch,0,4,2011
ch,0,5,2011
ch,0,6,2011
ch,0,7,2011
ch,0,8,2011
ch,0,9,2011
charlotte,0,0,1996
charlotte,0,1,1996
charlotte,1,2,1996
charlotte,21.3,3,1996
charlotte,40.3,4,1996
charlotte,45.4,5,1996
charlotte,47.7,6,1996
charlotte,48.9,7,1996
charlotte,49.8,8,1996
charlotte,50.6,9,1996
charlotte,0,0,1997
charlotte,0,1,1997
charlotte,0.4,2,1997
charlotte,22,3,1997
charlotte,43,4,1997
charlotte,49.2,5,1997
charlotte,51.7,6,1997
charlotte,53,7,1997
charlotte,54.3,8,1997
charlotte,54.9,9,1997
charlotte,0,0,1998
charlotte,0,1,1998
charlotte,0.7,2,1998
charlotte,21.4,3,1998
charlotte,41.2,4,1998
charlotte,46.6,5,1998
charlotte,48.9,6,1998
charlotte,50.3,7,1998
charlotte,51.1,8,1998
charlotte,52,9,1998
charlotte,0,0,1999
charlotte,0,1,1999
charlotte,0.6,2,1999
charlotte,23.5,3,1999
charlotte,43,4,1999
charlotte,48.7,5,1999
charlotte,50.8,6,1999
charlotte,51.9,7,1999
charlotte,52.7,8,1999
charlotte,53.2,9,1999
charlotte,0,0,2000
charlotte,0.1,1,2000
charlotte,0.8,2,2000
charlotte,25.8,3,2000
charlotte,44.4,4,2000
charlotte,49.8,5,2000
charlotte,52.2,6,2000
charlotte,53.4,7,2000
charlotte,54.3,8,2000
charlotte,54.9,9,2000
charlotte,0,0,2001
charlotte,0,1,2001
charlotte,1,2,2001
charlotte,26.4,3,2001
charlotte,45.2,4,2001
charlotte,50.5,5,2001
charlotte,52.7,6,2001
charlotte,53.7,7,2001
charlotte,54.7,8,2001
charlotte,55.1,9,2001
charlotte,0,0,2002
charlotte,0,1,2002
charlotte,0.9,2,2002
charlotte,24.2,3,2002
charlotte,44.6,4,2002
charlotte,50.6,5,2002
charlotte,52.9,6,2002
charlotte,54.5,7,2002
charlotte,55.2,8,2002
charlotte,55.5,9,2002
charlotte,0,0,2003
charlotte,0,1,2003
charlotte,0.6,2,2003
charlotte,25.5,3,2003
charlotte,48,4,2003
charlotte,53.9,5,2003
charlotte,56,6,2003
charlotte,57.2,7,2003
charlotte,57.9,8,2003
charlotte,0,9,2003
charlotte,0,0,2004
charlotte,0,1,2004
charlotte,1.2,2,2004
charlotte,27.2,3,2004
charlotte,48.6,4,2004
charlotte,55.1,5,2004
charlotte,57.4,6,2004
charlotte,58.6,7,2004
charlotte,0,8,2004
charlotte,0,9,2004
charlotte,0,0,2005
charlotte,0,1,2005
charlotte,1,2,2005
charlotte,25.9,3,2005
charlotte,47,4,2005
charlotte,52.6,5,2005
charlotte,55,6,2005
charlotte,0,7,2005
charlotte,0,8,2005
charlotte,0,9,2005
charlotte,0,0,2006
charlotte,0,1,2006
charlotte,0.9,2,2006
charlotte,26.3,3,2006
charlotte,46.9,4,2006
charlotte,53.3,5,2006
charlotte,0,6,2006
charlotte,0,7,2006
charlotte,0,8,2006
charlotte,0,9,2006
charlotte,0,0,2007
charlotte,0,1,2007
charlotte,0.5,2,2007
charlotte,25.5,3,2007
charlotte,47.7,4,2007
charlotte,0,5,2007
charlotte,0,6,2007
charlotte,0,7,2007
charlotte,0,8,2007
charlotte,0,9,2007
charlotte,0,0,2008
charlotte,0.1,1,2008
charlotte,0.8,2,2008
charlotte,25,3,2008
charlotte,0,4,2008
charlotte,0,5,2008
charlotte,0,6,2008
charlotte,0,7,2008
charlotte,0,8,2008
charlotte,0,9,2008
charlotte,0,0,2009
charlotte,0.1,1,2009
charlotte,1.1,2,2009
charlotte,0,3,2009
charlotte,0,4,2009
charlotte,0,5,2009
charlotte,0,6,2009
charlotte,0,7,2009
charlotte,0,8,2009
charlotte,0,9,2009
charlotte,0,0,2010
charlotte,0,1,2010
charlotte,0,2,2010
charlotte,0,3,2010
charlotte,0,4,2010
charlotte,0,5,2010
charlotte,0,6,2010
charlotte,0,7,2010
charlotte,0,8,2010
charlotte,0,9,2010
charlotte,0,0,2011
charlotte,0,1,2011
charlotte,0,2,2011
charlotte,0,3,2011
charlotte,0,4,2011
charlotte,0,5,2011
charlotte,0,6,2011
charlotte,0,7,2011
charlotte,0,8,2011
charlotte,0,9,2011
greensboro,0,0,1996
greensboro,0,1,1996
greensboro,0.4,2,1996
greensboro,25.1,3,1996
greensboro,42.6,4,1996
greensboro,48,5,1996
greensboro,49.5,6,1996
greensboro,50.6,7,1996
greensboro,51.2,8,1996
greensboro,51.5,9,1996
greensboro,0,0,1997
greensboro,0,1,1997
greensboro,0.6,2,1997
greensboro,27.2,3,1997
greensboro,46.6,4,1997
