key,value,year,date
asheville,80.4,0,1996
asheville,62.4,1,1996
asheville,57.3,2,1996
asheville,25.1,3,1996
asheville,8.4,4,1996
asheville,4.2,5,1996
asheville,1.1,6,1996
asheville,0.9,7,1996
asheville,0.4,8,1996
asheville,0.4,9,1996
asheville,77,0,1997
asheville,60.2,1,1997
asheville,56.4,2,1997
asheville,24.7,3,1997
asheville,6.8,4,1997
asheville,2.8,5,1997
asheville,1.3,6,1997
asheville,1.1,7,1997
asheville,0.6,8,1997
asheville,0,9,1997
asheville,77.8,0,1998
asheville,61.4,1,1998
asheville,58.9,2,1998
asheville,31.9,3,1998
asheville,6.8,4,1998
asheville,3,5,1998
asheville,1.9,6,1998
asheville,1.5,7,1998
asheville,0.4,8,1998
asheville,0.2,9,1998
asheville,76.8,0,1999
asheville,64.5,1,1999
asheville,59,2,1999
asheville,29.6,3,1999
asheville,5.9,4,1999
asheville,2.9,5,1999
asheville,1.8,6,1999
asheville,0.7,7,1999
asheville,0.4,8,1999
asheville,0.2,9,1999
asheville,80,0,2000
asheville,64.8,1,2000
asheville,59.8,2,2000
asheville,26.7,3,2000
asheville,7.5,4,2000
asheville,2.8,5,2000
asheville,1,6,2000
asheville,0.4,7,2000
asheville,0.2,8,2000
asheville,0.4,9,2000
asheville,77.8,0,2001
asheville,66.4,1,2001
asheville,61.2,2,2001
asheville,24.2,3,2001
asheville,7.6,4,2001
asheville,4.3,5,2001
asheville,1.3,6,2001
asheville,1.6,7,2001
asheville,1.6,8,2001
asheville,0.4,9,2001
asheville,77.8,0,2002
asheville,68.6,1,2002
asheville,62.6,2,2002
asheville,28.1,3,2002
asheville,8.7,4,2002
asheville,2.4,5,2002
asheville,0.7,6,2002
asheville,0.2,7,2002
asheville,0.2,8,2002
asheville,0.5,9,2002
asheville,79.9,0,2003
asheville,68,1,2003
asheville,63.2,2,2003
asheville,33.6,3,2003
asheville,5.7,4,2003
asheville,2.7,5,2003
asheville,1.5,6,2003
asheville,0.8,7,2003
asheville,0.2,8,2003
asheville,0,9,2003
asheville,76.4,0,2004
asheville,63.2,1,2004
asheville,59.3,2,2004
asheville,27.5,3,2004
asheville,6.4,4,2004
asheville,3.9,5,2004
asheville,1.6,6,2004
asheville,0.7,7,2004
asheville,0,8,2004
asheville,0,9,2004
asheville,80.5,0,2005
asheville,69.9,1,2005
asheville,65.2,2,2005
asheville,30.8,3,2005
asheville,6.2,4,2005
asheville,1.7,5,2005
asheville,0.2,6,2005
asheville,0,7,2005
asheville,0,8,2005
asheville,0,9,2005
asheville,76.3,0,2006
asheville,63.4,1,2006
asheville,58.9,2,2006
asheville,25.3,3,2006
asheville,6.9,4,2006
asheville,1.8,5,2006
asheville,0,6,2006
asheville,0,7,2006
asheville,0,8,2006
asheville,0,9,2006
